target,featurizer,model_type,split_type,rho_test,tau_test,rmse_test,rho_all_on,tau_all_on,rmse_all_on,rho_all_off,tau_all_off,rmse_all_off,rho_lib_on,tau_lib_on,rmse_lib_on,rho_lib_off,tau_lib_off,rmse_lib_off
ddr1,None,chembertadnnLOGP,random,0.5715964658445647,0.419579364328423,0.21313875393622722,-0.642906152788492,-0.4538462648164508,5.571862291000158,-0.344524886877828,-0.2470588235294118,7.719414891877821,-0.6525964199847635,-0.4635139367368046,5.111135153538552,-0.36938775510204075,-0.260204081632653,7.7215888680245195
ddr1,maccs,xgb,random,0.4131568774941438,0.2931726286470091,0.850262394431868,-0.661862840909382,-0.48563610550970665,4589.204372710286,-0.2392415948872325,-0.15463113083772873,27370.025060781907,-0.7072764275003033,-0.531531409407805,4888.171178772375,-0.2708811677590992,-0.1702128276008541,26378.791302822076
ddr1,None,chembertadnn,random,0.5607912247683692,0.4101137481827696,0.6879477044106517,-0.6569337505725644,-0.4748252909250694,4589.072669224312,-0.36271493212669675,-0.2564705882352942,27369.23992711113,-0.7341836255854644,-0.5391896815101604,4887.978585065107,-0.3849999999999999,-0.2704081632653061,26377.956287056026
ddr1,substructure,dnn,random,0.2019992461725664,0.14053750148542404,0.9146914782032411,-0.1351655301716371,-0.09291385658042373,4589.138658335693,-0.1301100256399543,-0.08925975948050362,27370.036556119292,-0.11205780865595756,-0.07413582838526728,4888.140648631589,-0.2139466364167337,-0.1439631501497389,26378.854732700358
ddr1,substructure,xgb,random,0.2088035549583572,0.14530994656935906,0.9134892327138974,-0.2954271101157978,-0.19647569301999218,4589.173323185121,-0.14654022796783492,-0.10580577811609325,27370.076725536863,-0.18021506082462685,-0.10663920529041639,4888.16503518394,-0.17458334777706863,-0.119060971353594,26378.870163054064
ddr1,maccs,knn,random,0.36602704702747296,0.2579979796173826,0.9069970803087346,-0.5399954439689838,-0.3934105529876069,4589.048739781938,-0.3721887872039885,-0.26609113377659915,27369.736230722912,-0.5679275780958907,-0.40678424189372825,4887.9891367852115,-0.44037961177788393,-0.3063830896815374,26378.520823309485
ddr1,chemberta,knn,random,0.41890527253291965,0.2979233004303964,0.8753509607092568,-0.6332240608397028,-0.4580420700381745,4589.088615206492,-0.29013574660633484,-0.207843137254902,27369.603269211882,-0.6305294090406531,-0.4554058212253736,4888.013102378418,-0.31244897959183665,-0.21938775510204078,26378.365390037965
ddr1,chemberta,dnn,random,0.4840099395839648,0.3480698638620265,0.7445676621479128,-0.6448883133449371,-0.4720280874439202,4589.073806586251,-0.30180995475113126,-0.21411764705882358,27369.669138999292,-0.7104970175078416,-0.5202707453168214,4888.103491173966,-0.3420408163265306,-0.24149659863945577,26378.451662496926
ddr1,chemberta,xgb,random,0.4160568919399888,0.2952231905765686,0.8248049080738653,-0.60562628693843,-0.4356644421889812,4589.1657794798775,-0.2195475113122172,-0.1607843137254902,27369.86219636655,-0.5501569012900868,-0.3932436023044027,4888.119095062164,-0.25663265306122446,-0.1802721088435374,26378.647687400127
ddr1,maccs,dnn,random,0.3828437032458916,0.2994368287429856,0.8327193783291608,-0.6155927487937524,-0.4525276557043079,4589.086830797126,-0.28440102591728245,-0.20172526844233454,27369.692722665357,-0.6208224763763917,-0.43826968435845065,4888.0124532254495,-0.3194161305711872,-0.22054733638377114,26378.469595094175
ddr1,physchem,xgb,random,0.2743852131205578,0.1908759341388344,0.8988027836986088,-0.571668195260274,-0.4242218607157386,4589.0720130919535,-0.24494321035078295,-0.16562014521198354,27370.01144122836,-0.5069353276259726,-0.3628998451366269,4888.020644933417,-0.27026889162176465,-0.1753192124288797,26378.81879899413
ddr1,physchem,knn,random,0.30973847049052405,0.21712702384047938,0.9195487990681793,-0.645547427216423,-0.463423880847886,4589.153928523353,-0.1647096088568355,-0.1020007924707738,27369.783237929983,-0.655158479142734,-0.4793527805162907,4888.114414616276,-0.22347508872293986,-0.14036581448420463,26378.597560289112
ddr1,physchem,dnn,random,0.2683268755713815,0.18640683029317923,0.9082837566199796,-0.5220309671235316,-0.37741424377260435,4589.094863371738,-0.2049007855931931,-0.1413428542294637,27370.01330188371,-0.47753206010468907,-0.348072274565003,4888.078452531867,-0.22869097191761611,-0.15410825680147552,26378.824200220606
ddr1,substructure,knn,random,0.14382147147688074,0.09949432133589918,1.0785581960424506,-0.040731454515254714,-0.03333703094563044,4589.1785146473585,-0.09511307351264171,-0.08211791734383357,27370.047648016985,0.06405844681730269,0.01640603158314098,4888.175821243154,-0.14293373502216142,-0.11220854134763175,26378.85683152902
mapk14,None,chembertadnnLOGP,random,0.2012345783250871,0.14004036407249798,0.11650149881702113,-0.4088157153579498,-0.28187924709654455,6.431200555017543,-0.3900687547746371,-0.2620320855614973,8.408594014487283,-0.6625876111753776,-0.4925204641928193,6.724337195740004,-0.31383689839572193,-0.22348484848484848,8.525056130777214
mapk14,maccs,xgb,random,0.13022486533339236,0.08966203510658373,0.25375373498433557,-0.5427140185376385,-0.36674926246797473,4609.782912106124,-0.42997937324663604,-0.30686898918189454,36510.095921541826,-0.5600446053576353,-0.39492338137691047,5346.187228600821,-0.5416562231663112,-0.37725135430535656,37059.15069020852
mapk14,None,chembertadnn,random,0.16472740888377857,0.1138702867369276,0.23372501055971942,-0.31020514860210086,-0.19158026750717527,4609.70972585313,-0.6385026737967914,-0.4367201426024956,36510.10056812911,-0.5264211847014585,-0.3314156394568504,5346.107275183009,-0.6333556149732621,-0.4356060606060606,37059.154079232896
mapk14,substructure,dnn,random,0.06861949052570877,0.047194625809132015,0.27768122768275644,0.1928732315874262,0.11867598941641391,4610.00918327648,-0.3814332388711441,-0.23202377062449,36510.14339999725,0.03318857596868841,0.0069772158904644836,5346.452861956678,-0.4913428250018217,-0.3021170572389389,37059.198883022844
mapk14,substructure,xgb,random,0.08533236268198895,0.05860395331522864,0.27681873548454095,0.24887712786925684,0.1730691512322703,4609.992237756021,-0.5117384191110056,-0.37231721332767,36510.14054570123,0.00690500573845195,0.020931647671393452,5346.432849954501,-0.5191136486144544,-0.38625092128016236,37059.19598603005
mapk14,maccs,knn,random,0.08255161179802384,0.05679644508542112,0.2738984836053499,-0.25331127366548173,-0.19228590624041428,4609.600405399444,-0.3489953406166726,-0.23550410797680277,36510.089588003306,-0.5265503101524887,-0.3958428782709008,5345.971776774577,-0.34778975637429604,-0.2331754601987882,37059.14426214846
mapk14,chemberta,knn,random,0.10468775802630709,0.07221059372324322,0.2602841760144743,-0.40717832718318614,-0.2905985072168892,4609.647862126758,-0.4921313980137509,-0.33333333333333337,36510.07974886368,-0.5854472775114702,-0.4308767198212208,5346.026868702264,-0.5370989304812834,-0.36742424242424243,37059.134274648
mapk14,chemberta,dnn,random,0.11942196101295796,0.0827942218325513,0.2414568171358265,-0.08361309576384784,-0.02332772644963614,4609.635078843499,-0.5552499113133647,-0.393209634740689,36510.09116628468,-0.3278764015161701,-0.1529598406723935,5346.011992472738,-0.600468104439705,-0.4273521617236423,37059.14586385705
mapk14,chemberta,xgb,random,0.13381411134217516,0.09229189083084562,0.2491416280576238,-0.29835794270210486,-0.21354488416404888,4609.772186115965,-0.44660045836516415,-0.3012477718360072,36510.076818975656,-0.5482256124701579,-0.3820485843738692,5346.174114327411,-0.48195187165775405,-0.3333333333333333,37059.13130072875
mapk14,maccs,dnn,random,0.08237083477366323,0.06897142213673464,0.24637993809571004,-0.2117308708360485,-0.16195863258753163,4609.748703250351,-0.343424877038398,-0.2679043785070159,36510.0987951285,-0.49261072134887934,-0.3718124716931683,5346.14571376798,-0.3818965830100542,-0.2984810028978546,37059.153607457294
mapk14,physchem,xgb,random,0.07984837021445762,0.054870532962381174,0.27189089046076,0.043822966338734406,0.036674926246797475,4609.84597192272,-0.2345301757066463,-0.15508021390374335,36510.121963674064,-0.1406632678865816,-0.08083227104205769,5346.26023682067,-0.21925133689839574,-0.14393939393939395,37059.177124514674
mapk14,physchem,knn,random,0.06913702422125216,0.04752401530102533,0.2878582316159468,-0.2851542123790809,-0.18826462140022704,4609.784423634504,0.03437738731856379,0.008912655971479503,36510.1095850366,-0.4068551482542266,-0.2886866822930632,5346.186677449633,0.04378342245989305,0.011363636363636364,37059.16455943968
mapk14,physchem,dnn,random,0.07606515057019737,0.052190296223200955,0.27628641759592715,0.08198292509890472,0.05623488691175613,4609.959853377813,-0.027349121466768524,-0.019607843137254905,36510.11956791513,0.016470066176593415,0.0023094934583445053,5346.395133182836,-0.0625,-0.041666666666666664,37059.17469266038
mapk14,substructure,knn,random,0.028727827705100177,0.01973271133685737,0.31731562885450415,0.012648855079229667,0.004944832892350579,4610.004228329444,0.3049630626740422,0.21403743181638998,36510.15105626844,0.17886192283796506,0.11861267013789621,5346.444518103483,0.40434988356465884,0.27917145795496884,37059.20665506553
